status,name,sku,wix_price,our_price,availability,wix_inventory,url
NEW,A70 Burnt Umber,,36.5,,OutOfStock,out_of_stock/0,https://www.lev-hatahbiv.com/product-page/a70-burned-umber
NEW,בלוק בגודל  15/40 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222590,84,,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/בלוק-בגודל-15-40-סמ-100-כותנה-כבישה-חמה-300-גרם-magnani-portofino
NEW, בלוק בגודל  15/15 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222637,34,,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/בלוק-בגודל-15-15-סמ-100-כותנה-כבישה-חמה-300-גרם-magnani-portofino
NEW,  בלוק בגודל  20/20 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222613,61.8,,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/בלוק-בגודל-20-20-סמ-100-כותנה-כבישה-חמה-300-גרם-magnani-portofino
NEW,נוזל לצביעת בדים טבעיים RIT ירוק כהה,,25.9,,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/נוזל-לצביעת-בדים-טבעיים-rit-ירוק-כהה
PRICE_CHANGED,בלוק צבע מים פפל A4,7290014729421,28,25.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/בלוק-צבע-מים-פפל-a4
PRICE_CHANGED,Magnani Italia 30x30 סמ 100% כותנה 300 גרם,8001348222477,109.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-פד-30x30-סמ-12x12-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 26x36 סמ 100% כותנה 300 גרם,8001348222378,149.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-בלוק-26x36-סמ-10x14-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 15x15 סמ  100% כותנה 300 גרם,8001348222484,33.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-פד-15x15-סמ-6x6-100-כותנה-300-גרם
PRICE_CHANGED,בלוק בגודל  31/41 סמ 100% כותנה כבישה חמה 640 גרם magnani portofino,,199,500,OutOfStock,out_of_stock/0,https://www.lev-hatahbiv.com/product-page/בלוק-בגודל-31-41-סמ-100-כותנה-כבישה-חמה-640-גרם-magnani-portofino
PRICE_CHANGED,בלוק בגודל  18/26 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222507,109.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/1404-portofino-watercolour-block-18-x-26cm-7-x-10in-300gsm-140lb-20-sheets-hot-p-1
PRICE_CHANGED,Magnani Italia 23x31 סמ 100% כותנה 640 גרם,8001348222408,187,169,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-בלוק-23x31-סמ-9x12-100-כותנה-640-גרם
PRICE_CHANGED,Magnani Italia 18x26  100% כותנה 300 גרם,8001348222354,109.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-בלוק-18x26-סמ-7x10-100-כותנה-300-גרם
PRICE_CHANGED,בלוק בגודל  31/41 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222538,199,120,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/1404-portofino-watercolour-block-31-x-41cm-12-x-16in-300gsm-140lb-20-sheets-hot-1
PRICE_CHANGED,Magnani Italia 23x31 סמ 100% כותנה 300 גרם,http://magnanieco.it/,139,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-בלוק-23x31-סמ-9x12-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 12x23 סמ 100% כותנה 300 גרם,8001348222491,46.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-פד-12x23-סמ-4-5x9-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 15x40 סמ 100% כותנה 300 גרם,8001348222446,82.9,500,InStock,,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-פד-15x40-סמ-6x15-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 31x41 סמ 100% כותנה 300 גרם,8001348222385,181.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-בלוק-31x41-סמ-12x16-100-כותנה-300-גרם
PRICE_CHANGED,Magnani Italia 20x20 סמ 100% כותנה 300 גרם,8001348222460,67,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/magnani-1404-italia-פד-20x20-סמ-8x8-100-כותנה-300-גרם
PRICE_CHANGED,בלוק בגודל  23/31 סמ 100% כותנה כבישה חמה 300 גרם magnani portofino,8001348222514,129.9,500,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/1404-portofino-watercolour-block-23-x-31cm-9-x-12in-300gsm-140lb-20-sheets-hot-p-1
EDITED_SAME_PRICE,מכחול קולינסקי סדרה 7 גודל 000,94376861112,55,55,InStock,in_stock/1,https://www.lev-hatahbiv.com/product-page/מכחול-קולינסקי-סדרה-7-גודל-000
EDITED_SAME_PRICE,מכחול קולינסקי סדרה 7 גודל 00,,58,58,OutOfStock,out_of_stock/0,https://www.lev-hatahbiv.com/product-page/מכחול-קולינסקי-סדרה-7-גודל-00
EDITED_SAME_PRICE,צבע מים בקוביה חלומות לבנים Silver Light 961,,16.9,16.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-silver-light-961
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Yellow Ochre 218,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-yellow-ochre-218
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Yellow 211,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-yellow-211
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Naples Yellow 209,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-naples-yellow-209
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Umber 418,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-umber-418
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Indantherene Blue Light 537,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-indantherene-blue-light-537
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Red Brown Hematite 386,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-red-brown-hematite-386
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Scarlet 318,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-scarlet-318
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Naples Yellow Light 219,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-naples-yellow-light-219
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Indigo 516,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-indigo-516
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Bright Blue 509,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-bright-blue-509
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Indian Gold 244,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-indian-gold-244
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Ochre Light 206,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-ochre-light-206
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Burnt Umber 408,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-burnt-umber-408
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Golden Deep 217,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-golden-deep-217
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Vandyke Brown 401,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-vandyke-brown-401
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Lemon 214,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-lemon-214
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Indantherene Blue 524,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-indantherene-blue-524
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Naples Flesh 222,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-naples-flesh-222
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Indian Yellow 228,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-indian-yellow-228
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Cadmium Lemon 203,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-cadmium-lemon-203
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Titan Red 226,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-titan-red-226
EDITED_SAME_PRICE,צבע מים בשפופרת חלומות לבנים White Titanium 101,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-white-titanium
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Aureolin 253,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-aureolin-253
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Cadmium Yellow Medium 201,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-cadmium-yellow-medium-201
EDITED_SAME_PRICE,צבע מים בשפופרת/קוביה חלומות לבנים Sepia 413,,11.9,11.9,InStock,in_stock/0,https://www.lev-hatahbiv.com/product-page/צבע-מים-בשפופרת-חלומות-לבנים-sepia-413
